127.0.0.1 - - [18/May/2025:18:49:38 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [18/May/2025:18:49:39 +0530] "GET /E_Servlet_Jsp/ HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [18/May/2025:18:49:39 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/May/2025:18:50:22 +0530] "GET /E_Servlet_Jsp/login.jsp HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [18/May/2025:18:50:31 +0530] "POST /E_Servlet_Jsp/loginForm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2025:18:50:31 +0530] "GET /E_Servlet_Jsp/login.jsp HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [18/May/2025:18:50:38 +0530] "GET /E_Servlet_Jsp/register.jsp HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [18/May/2025:18:50:54 +0530] "POST /E_Servlet_Jsp/registerForm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2025:18:50:54 +0530] "GET /E_Servlet_Jsp/register.jsp HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [18/May/2025:18:53:16 +0530] "GET /E_Servlet_Jsp/register.jsp HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [18/May/2025:18:53:26 +0530] "POST /E_Servlet_Jsp/registerForm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2025:18:53:26 +0530] "GET /E_Servlet_Jsp/login.jsp HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [18/May/2025:18:53:34 +0530] "POST /E_Servlet_Jsp/loginForm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2025:18:53:34 +0530] "GET /E_Servlet_Jsp/login.jsp HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [18/May/2025:18:53:41 +0530] "POST /E_Servlet_Jsp/loginForm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2025:18:53:42 +0530] "GET /E_Servlet_Jsp/profile.jsp HTTP/1.1" 200 872
